observation_0,observation_1,observation_2,observation_3,observation_4,observation_5,observation_6,observation_7,observation_8,observation_9,observation_10,observation_11,observation_12,observation_13,observation_14,observation_15,observation_16,observation_17,observation_18,observation_19,observation_20,observation_21,observation_22,observation_23,observation_24,observation_25,observation_26,observation_27,observation_28,observation_29,observation_30,observation_31,observation_32,observation_33,observation_34,observation_35,observation_36,observation_37,observation_38,observation_39,observation_40,observation_41,observation_42,observation_43,observation_44,observation_45,observation_46,observation_47,observation_48,observation_49,observation_50,observation_51,observation_52,observation_53,observation_54,observation_55,observation_56,observation_57,observation_58,observation_59,observation_60,observation_61,observation_62,observation_63,observation_64,observation_65,observation_66,observation_67,observation_68,observation_69,observation_70,observation_71,observation_72,observation_73,observation_74,observation_75,observation_76,observation_77,observation_78,observation_79,observation_80,observation_81,observation_82,observation_83,observation_84,observation_85
0.320504218,0.309640527,0.301064432,0.292359948,0.219467789,0.216287985,0.117240898,0.116806723,0.103109248,0.113424368,0.110070027,0.107586369,0.245714292,0.124388419,0.173781529,0.166897774,0.190532267,0.130163446,0.116596624,0.110434167,0.105676934,0.10116946,0.0990149379,0.129491121,0.128851548,0.129435107,0.153594777,0.157205895,0.129673168,0.128531754,0.135238111,0.143923923,0.154976666,0.166162491,0.183576137,0.210254475,0.242941231,0.239843607,0.230952382,0.224831954,0.220746964,0.217978537,0.217170879,0.217761442,0.184864476,0.155966401,0.170616269,0.177710116,0.186162487,0.0861204565,0.0914472491,0.105371155,0.117833816,0.134509832,0.158067271,0.179283157,0.179215029,0.310588241,0.305135399,0.301799744,0.300700307,0.30204016,0.30585435,0.312373966,0.321437955,0.33397764,0.350126117,0.361484617,0.385779679,0.395357072,0.365774989,0.341692328,0.199498996,0.00110847899,0.380707145,0.0564472154,0.551869869,0.204709157,0.291226506,0.142752632,0.448061407,0.894002795,0.243349805,-0.0683189183,0.894736826,-0.103448279
0.323865563,0.31232962,0.302343607,0.29370448,0.220466867,0.218485072,0.118249297,0.117983192,0.101409964,0.114201672,0.110742301,0.108403362,0.246218503,0.125543863,0.177478999,0.167226881,0.183987066,0.123147726,0.115672261,0.109761894,0.105004668,0.101309516,0.0987254903,0.129323065,0.128403366,0.128762841,0.152843148,0.155903369,0.131596595,0.12712653,0.133557439,0.141993478,0.152829155,0.165924385,0.183576137,0.205196112,0.237563089,0.240347818,0.231134459,0.224495798,0.219589189,0.216970131,0.216288537,0.216692358,0.202651635,0.15626049,0.169607863,0.17670171,0.185490221,0.0841479972,0.0902707875,0.102962188,0.114332423,0.130074725,0.152100876,0.182857156,0.223828271,0.28854695,0.306419253,0.30264008,0.301484615,0.302471995,0.305859029,0.311764717,0.320597619,0.333029926,0.348445445,0.358937979,0.384789973,0.402002782,0.370210052,0.346094757,0.19635886,0.00393410958,0.376279622,0.0633064434,0.541452467,0.217305422,0.284925163,0.1474493,0.465851784,0.884862781,0.323176831,-0.0944752991,0.789473712,-0.103448279
0.328403383,0.315891683,0.305163413,0.2961905,0.228249207,0.220494881,0.119691879,0.119159669,0.0978058353,0.115546212,0.111918777,0.109411761,0.246386573,0.1254365,0.179831952,0.167899162,0.179953396,0.123545766,0.116176456,0.109929971,0.105163395,0.101141453,0.0985574126,0.128695145,0.127899155,0.128235295,0.151834741,0.154873952,0.133230582,0.125560239,0.131876767,0.139808595,0.150028035,0.162801161,0.179542527,0.205163434,0.233949602,0.240011677,0.230849683,0.223032206,0.218431398,0.215711966,0.215140074,0.215515897,0.202100739,0.154222697,0.167334273,0.174180701,0.182465017,0.0837254748,0.0877264291,0.099387303,0.112633079,0.124974348,0.145336181,0.175002411,0.225546226,0.284873962,0.307427675,0.303599447,0.301708698,0.30252102,0.30585435,0.311029434,0.319589198,0.32612747,0.336162508,0.35574469,0.380102783,0.409075648,0.377511621,0.351540595,0.19635886,0.00393410958,0.376279622,0.0633064434,0.541452467,0.217305422,0.284925163,0.1474493,0.465851784,0.884862781,0.323176831,-0.0944752991,0.684210539,-0.103448279
0.32957983,0.317236215,0.308627456,0.299047619,0.241050228,0.222012162,0.121274509,0.120672271,0.097488381,0.117058821,0.11309991,0.1107563,1,0.126405224,1,0.168571442,0.177908555,0.126015425,0.116470583,0.109929971,0.104995325,0.101127446,0.0982212871,0.12819095,0.127058819,0.127406642,0.146755427,0.153550431,0.133473322,0.125056028,0.131092429,0.137373954,0.147320271,0.159390777,0.175326839,0.198993966,0.229327783,0.238515422,0.229453787,0.222479001,0.21788983,0.214617178,0.213473409,0.213828221,0.212684408,0.151995808,0.15703553,0.171010762,0.179383785,0.087273553,0.0847012177,0.0918207392,0.107936531,0.122394986,0.138151303,0.165009394,1,0.141680673,0.308207303,0.304320753,0.302465022,0.303120941,0.30619517,0.311827749,0.31996268,0.331746042,0.337226957,0.356582671,0.381353945,0.410315216,0.378921539,0.352784783,0.195516914,0.0164321046,0.373225003,0.0823214501,0.523507237,0.248495862,0.274288267,0.156627074,0.487370729,0.873195171,0.363250673,-0.0648145676,0.473684222,-0.103448279
0.333613485,0.320901036,0.311956137,0.302002788,0.265158743,0.22402662,0.12288516,0.122047156,0.101428576,0.118676469,0.114603169,0.111619979,1,0.127966851,0.180336148,0.169068635,0.183314785,0.125294119,0.116932765,0.110156387,0.104995325,0.0990511104,0.0974766463,0.127642393,0.126442567,0.126711026,0.150154069,0.153046235,0.129869238,0.123375356,0.129341736,0.136869758,0.146517292,0.156316549,0.171344593,0.192521065,0.222521082,0.238352031,0.229402438,0.222142875,0.217049494,0.213608786,0.212114871,0.212093845,0.21216622,0.154747874,0.15271242,0.168321699,0.176358566,0.185774997,0.0830252171,0.0888865665,0.103921592,0.117630742,0.136428609,0.157434687,0.167973533,0.242857158,0.309659213,0.305457532,0.303221285,0.303480417,0.306199819,0.311596662,0.315014005,0.321372598,0.336022437,0.354570538,0.378263384,0.413340449,0.384262353,0.357859492,0.195516914,0.0164321046,0.373225003,0.0823214501,0.523507237,0.248495862,0.274288267,0.156627074,0.487370729,0.873195171,0.363250673,-0.0648145676,0.473684222,-0.103448279
0.337983221,0.324967325,0.314607859,0.304257721,0.273702085,0.225875363,0.12429972,0.123391688,0.101260498,0.119957991,0.115779638,0.112724088,1,0.128935575,0.181344539,0.169579849,0.181970224,0.126302525,0.116932765,0.110098034,0.103986926,0.0984453559,0.0975513607,0.127138183,0.125938371,0.125894025,0.149234369,0.152037814,0.129897252,0.122084513,0.127661079,0.135102719,0.144500494,0.156148493,0.171293214,0.186785772,0.217058882,0.237528026,0.229014933,0.221470609,0.216041073,0.212514013,0.210770324,0.210527554,0.211596653,0.154306695,0.151288524,0.167301595,0.173613474,0.182749793,0.0806442648,0.0872058943,0.0998599902,0.112924859,0.130294144,0.155301154,0.185004756,0.240752906,0.311447263,0.306377232,0.304145694,0.304080307,0.306372583,0.311344564,0.309822619,0.320226461,0.334327787,0.352047205,0.375004709,0.402969331,0.391358495,0.363242269,0.196652099,0.0185715184,0.372736573,0.0920997262,0.510725081,0.267549753,0.266984671,0.160538122,0.500105202,0.865964651,0.325081944,-0.0880676061,1,-0.0344827585
0.342184901,0.327959865,0.317231566,0.306407571,0.280854195,0.227222234,0.125742301,0.124736227,0.096722737,0.12096639,0.116956107,0.113660119,0.190756306,0.129607826,1,0.170406178,0.17621851,0.128595978,0.116764694,0.109820247,0.104491122,0.0991946608,0.0969000831,0.126678333,0.125266105,0.125221759,0.14865081,0.151050434,0.12901023,0.120908037,0.126484603,0.133508414,0.142819822,0.151946798,0.165849715,0.183461785,0.21327737,0.23647061,0.228277326,0.220560238,0.215051368,0.21141924,0.209439784,0.2092437,0.210130721,0.178403258,0.150144711,0.164960325,0.170924395,0.180184424,0.0814472362,0.0845938474,0.0910924375,0.10877452,0.125294149,0.148461759,0.183716223,0.229411781,0.301248968,0.307474315,0.304845959,0.304465473,0.306377232,0.311302543,0.313762844,0.319386125,0.332759142,0.350863725,0.372689128,0.395768613,0.397819757,0.368450046,0.196401864,0.0190124642,0.371595979,0.0962023437,0.504864812,0.275110483,0.263704687,0.162614405,0.507917881,0.861405492,0.329514474,-0.0893321857,1,0.103448279
0.345210105,0.33088237,0.319887966,0.309026629,0.291419148,0.229063958,0.127352938,0.126050428,0.0968721285,0.122205883,0.118132584,0.114740901,0.191428587,0.130616248,1,0.17075631,0.175714299,0.131646857,0.117100835,0.109988324,0.104481786,0.0988585353,0.0965639576,0.126421571,0.124873951,0.124549486,0.147721767,0.150189087,0.129971936,0.119677879,0.124972001,0.131827742,0.14065361,0.14959386,0.162875846,0.180798337,0.208235338,0.235207766,0.228109241,0.220056027,0.214360401,0.210492536,0.208263323,0.20818162,0.209271729,0.190945283,0.149024293,0.161166042,0.168515444,0.177415982,0.172734991,0.0820728317,0.0884780809,0.105245113,0.120882384,0.143097609,0.168720886,1,0.29483673,0.308601797,0.305686295,0.305042028,0.306876779,0.311365545,0.30991599,0.319187701,0.332226932,0.348865569,0.371549994,0.395287156,0.401778668,0.371949106,0.19865191,0.0192392543,0.372203112,0.104658127,0.49556613,0.291165382,0.257893831,0.165970832,0.519631267,0.854390621,0.338471413,-0.0886715502,0.789473712,0.103448279
0.345210105,0.33088237,0.319887966,0.309026629,0.291419148,0.229063958,0.127352938,0.126050428,0.0968721285,0.122205883,0.118132584,0.114740901,0.191428587,0.130616248,1,0.17075631,0.175714299,0.131646857,0.117100835,0.109988324,0.104481786,0.0988585353,0.0965639576,0.126421571,0.124873951,0.124549486,0.147721767,0.150189087,0.129971936,0.119677879,0.124972001,0.131827742,0.14065361,0.14959386,0.162875846,0.180798337,0.208235338,0.235207766,0.228109241,0.220056027,0.214360401,0.210492536,0.208263323,0.20818162,0.209271729,0.190945283,0.149024293,0.161166042,0.168515444,0.177415982,0.172734991,0.0820728317,0.0884780809,0.105245113,0.120882384,0.143097609,0.168720886,1,0.29483673,0.308601797,0.305686295,0.305042028,0.306876779,0.311365545,0.30991599,0.319187701,0.332226932,0.348865569,0.371549994,0.395287156,0.401778668,0.371949106,0.195137322,0.00642077206,0.36457178,0.108223103,0.494051993,0.306771815,0.254763991,0.166500703,0.521396339,0.853314638,0.476207137,-0.0294426288,0.684210539,0.172413796
0.353949577,0.338144273,0.325938374,0.314103633,0.305681616,0.232929513,0.188696936,0.12927404,0.100989766,0.12516807,0.120485522,0.117310934,0.194958001,0.131792709,1,0.172093838,0.181101844,0.123333327,0.116470583,0.109257698,0.103482723,0.0969887897,0.0987394974,0.125245094,0.12341737,0.123036884,0.145961717,0.148172274,0.12746495,0.117324933,0.122268915,0.128634468,0.136937454,0.14529413,0.157885179,0.174612537,0.20025216,0.231528997,0.226713359,0.21825631,0.212175533,0.208139613,0.205742314,0.205263793,0.205789,0.204086125,0.14686738,0.147324935,0.163865566,0.172285274,0.182366982,0.0783543363,0.0826890767,0.0950969234,0.111680694,0.130803034,0.153445423,0.194902048,0.265651405,0.310786664,0.307507038,0.306482285,0.307717115,0.311407596,0.317852497,0.317705452,0.330098093,0.345513582,0.366806746,0.392927259,0.41496262,0.3824673,0.195250928,0.00289610517,0.363138646,0.109403528,0.485745937,0.313493222,0.248717576,0.163920522,0.520942032,0.853592038,0.341790408,0.052432768,0.473684222,-0.103448279
